nameA,nameB,RMSD(OTMol+atom type),# atoms,alpha,assignment
s1maw1-1,s1maw1-2,1.3052991282224853,17,0.34,[ 0  2  1  3  4  5  6  7 12  8 10 13  9 11 14 16 15]
s1maw1-1,s1maw1-3,0.5839615633828438,17,0.06,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-4,0.11538510897871562,17,0.39,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-5,0.54711656292459,17,0.75,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-6,0.7883345576732507,17,0.63,[ 0  2  4  3  1  5  9  7 12  6 10 13  8 11 14 16 15]
s1maw1-1,s1maw1-7,1.2606968689180276,17,0.14,[ 0  4  2  3  1  5  6  7 13  8 10 11  9 12 14 16 15]
s1maw1-1,s1maw1-8,0.7214752136585885,17,0.52,[ 0  2  4  3  1  5  6  7 13  8 10 11  9 12 14 16 15]
s1maw1-1,s1maw1-9,0.8038640211937703,17,0.28,[ 0  1  2  3  4  5  6  7 12  8 10 13  9 11 14 16 15]
s1maw1-1,s1maw1-10,0.4183596086639191,17,0.6,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-11,0.5628080351186672,17,0.53,[ 0  4  1  3  2  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-12,0.553505228477418,17,0.49,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-13,1.0190642506203211,17,0.07,[ 0  2  4  3  1  5  6  7 12  9 10 13  8 11 14 16 15]
s1maw1-1,s1maw1-14,1.0721471865855448,17,0.1,[ 0  2  4  3  1  5  8  7 13  9 10 11  6 12 14 16 15]
s1maw1-1,s1maw1-15,0.4902559432093143,17,0.33,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-16,0.4113452503916782,17,0.03,[ 0  1  2  3  4  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-17,1.2638740786544413,17,0.52,[ 0  4  2  3  1  5  8  7 11  9 10 12  6 13 14 16 15]
s1maw1-1,s1maw1-18,1.2361199819779134,17,0.72,[ 0  2  1  3  4  5  8  7 11  9 10 12  6 13 14 16 15]
s1maw1-1,s1maw1-19,1.3060442402562245,17,0.27,[ 0  4  2  3  1  5  6  7  9  8 10 12 13 11 14 16 15]
s1maw1-1,s1maw1-20,1.5094374689740888,17,0.25,[ 0  2  1  3  4  5  6  7 12 13 10  9  8 11 14 16 15]
