nameA,nameB,RMSD(OTMol+atom type),# atoms,alpha,mismatch_bond,assignment
s1maw1-1,s1maw1-2,1.6667468231622053,17,1.0,0,[ 0  2  4  3  1  5  6  7  9  8 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-3,0.5839615633828438,17,1.0,0,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 16 15]
s1maw1-1,s1maw1-4,0.11538510897871562,17,1.0,0,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-5,0.54711656292459,17,1.0,0,[ 0  2  4  3  1  5  9  7  6  8 10 13 11 12 14 16 15]
s1maw1-1,s1maw1-6,1.2741158194918278,17,1.0,0,[ 0  2  4  3  1  5  8  7  9  6 10 12 13 11 14 16 15]
s1maw1-1,s1maw1-7,1.5756036343987065,17,1.0,0,[ 0  4  2  3  1  5  6  7  9  8 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-8,1.2189761200871994,17,1.0,0,[ 0  2  4  3  1  5  9  7  6  8 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-9,1.3717537972277347,17,1.0,0,[ 0  1  2  3  4  5  8  7  6  9 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-10,0.4183596086639191,17,1.0,0,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-11,0.5628080351186672,17,1.0,0,[ 0  4  1  3  2  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-12,0.553505228477418,17,1.0,0,[ 0  2  4  3  1  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-13,1.0900572311792962,17,1.0,0,[ 0  2  4  3  1  5  9  7  6  8 10 13 12 11 14 16 15]
s1maw1-1,s1maw1-14,1.3617848662372078,17,1.0,0,[ 0  2  4  3  1  5  8  7  6  9 10 11 13 12 14 16 15]
s1maw1-1,s1maw1-15,0.4902559432093143,17,1.0,0,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
s1maw1-1,s1maw1-16,0.4113452503916782,17,1.0,0,[ 0  1  2  3  4  5  8  7  9  6 10 12 13 11 14 15 16]
s1maw1-1,s1maw1-17,1.6496733695084917,17,1.0,0,[ 0  4  2  3  1  5  8  7  9  6 10 12 11 13 14 16 15]
s1maw1-1,s1maw1-18,1.5799765223676507,17,1.0,0,[ 0  2  1  3  4  5  6  7  8  9 10 12 11 13 14 16 15]
s1maw1-1,s1maw1-19,1.1719193417151532,17,1.0,0,[ 0  4  1  3  2  5  8  7  9  6 10 12 13 11 14 16 15]
s1maw1-1,s1maw1-20,1.802457710639848,17,1.0,0,[ 0  2  4  3  1  5  9  7  6  8 10 11 13 12 14 16 15]
